# Taken from Penn State Factbook (https://budget.psu.edu/FactBook/StudentDynamic/HistoricalComparisonOfEnrollment.aspx?YearCode=2016&FBPlusIndc=N)
Year	University Park	Other Locations	World Campus	Total University
2017	46610	37872	14301	98783
2016	47261	38461	13411	99133
2015	46848	38404	12242	97494
2014	46606	38562	10805	95973
2013	46184	38626	9631	94441
2012	45351	39227	8488	93066
2011	45194	41011	7163	93368
2010	44817	42492	5814	93123
2009	44832	42331	4697	91860
2008	44112	42397	4027	90536
2007	43041	42559	2897	88497
2006	42789	40932	2577	86298
2005	40709	39415	0	80124
2004	41289	40375	0	81664
2003	41795	41382	0	83177
2002	41445	41593	0	83038
2001	40828	40876	0	81704
2000	40571	40699	0	81270
1999	40658	40215	0	80873
1998	40969	39703	0	80672
1997	40471	38485	0	78956
1996	39782	37536	0	77318
1995	39571	37026	0	76597
1994	38219	35281	0	73500
1993	37588	35785	0	73373
1992	38373	37145	0	75518
1991	38911	36438	0	75349
1990	38779	36586	0	75365
1989	37623	36562	0	74185
1988	37175	32001	0	69176
1987	36175	31103	0	67278
1986	35165	29203	0	64368
1985	34932	27386	0	62318
1984	34304	27008	0	61312
1983	34338	27423	0	61761
1982	34151	29259	0	63410
1981	34573	28079	0	62652
1980	33813	27795	0	61608
1979	32673	26342	0	59015
1978	32596	26325	0	58921
1977	32588	26697	0	59285
1976	32306	28286	0	60592
1975	32068	29015	0	61083
1974	31682	26082	0	57764
1973	30094	26859	0	56953
1972	28940	24979	0	53919
1971	28920	24311	0	53231
1970	26174	21891	0	48065
1969	27151	19830	0	46981
1968	26235	15138	0	41373
1967	24336	14716	0	39052
1966	22766	12192	0	34958
1965	20800	8843	0	29643
1964	19510	7178	0	26688
1963	18753	5185	0	23938
1962	17934	4776	0	22710
1961	17521	4648	0	22169
1960	16211	4605	0	20816
1959	14786	3649	0	18435
1958	14634	3499	0	18133
1957	14131	3194	0	17325
1956	13147	2898	0	16045
1955	12653	2699	0	15352
1954	12003	2268	0	14271
1953	11529	1683	0	13212
1952	11539	1276	0	12815
1951	11553	1038	0	12591
1950	11132	2152	0	13284
1949	11130	3840	0	14970
1948	9792	4624	0	14416
1947	8410	4136	0	12546
1946	7094	3469	0	10563
1945	5420	359	0	5779
1944	3071	223	0	3294
1943	3131	161	0	3292
1942	6544	403	0	6947
1941	6446	452	0	6898
1940	6692	568	0	7260
1939	6540	660	0	7200
1938	6459	534	0	6993
1937	5905	440	0	6345
1936	5572	112	0	5684
1935	5269	150	0	5419
1934	4923	117	0	5040
1933	4661	80	0	4741
1932	4743	56	0	4799
1931	4797	60	0	4857
1930	4592	49	0	4641
1929	4367	51	0	4418
1928	4170	0	0	4170
1927	4030	0	0	4030
1926	3925	0	0	3925
1925	3885	0	0	3885
1924	3814	0	0	3814
1923	3621	0	0	3621
1922	3501	0	0	3501
1921	3404	0	0	3404
1920	3251	0	0	3251
1919	3271	0	0	3271
1918	2552	0	0	2552
1917	2276	0	0	2276
1916	2624	0	0	2624
1915	2531	0	0	2531
1914	2561	0	0	2561
1913	2385	0	0	2385
1912	2142	0	0	2142
1911	1861	0	0	1861
1910	1662	0	0	1662
1909	1417	0	0	1417
1908	1291	0	0	1291
1907	1151	0	0	1151
1906	898	0	0	898
1905	800	0	0	800
1904	749	0	0	749
1903	730	0	0	730
1902	602	0	0	602
1901	504	0	0	504
1900	433	0	0	433
1899	364	0	0	364
1898	326	0	0	326
1897	345	0	0	345
1896	347	0	0	347
1895	338	0	0	338
1894	307	0	0	307
1893	317	0	0	317
1892	287	0	0	287
1891	244	0	0	244
1890	209	0	0	209
1889	201	0	0	201
1888	190	0	0	190
1887	167	0	0	167
1886	134	0	0	134
1885	116	0	0	116
1884	114	0	0	114
1883	123	0	0	123
1882	87	0	0	87
1881	145	0	0	145
1880	157	0	0	157
1879	152	0	0	152
1878	162	0	0	162
1877	151	0	0	151
1876	150	0	0	150
1875	144	0	0	144
1874	142	0	0	142
1873	153	0	0	153
1872	148	0	0	148
1871	75	0	0	75
1870	59	0	0	59
1869	45	0	0	45
1868	45	0	0	45
1867	60	0	0	60
1866	114	0	0	114
1865	132	0	0	132
1864	146	0	0	146
1863	142	0	0	142
1862	110	0	0	110
1861	88	0	0	88
1860	110	0	0	110
1859	119	0	0	119
